processed_sentence,mainkeyword_list
"huge airport be prepared for tsa, they do not play ","['Security', 'Wayfinding']"
entry fee 50 which seems too much for this place. we covered everything in 3 hours with very relaxed frequent break where as camden aquarium in new jersey we paid 30 and had a lot more to see and can spend more than 5 hours to cover everything ,"['aquarium', 'Price']"
well at least it was clean today the skylounge 's were all well stocked ,['Cleanliness']
"this is one of the best aquariums around. it does get busy, but it is designed so it is not overwhelming when crowded. ","['aquarium', 'Crowd']"
"get reservations for the dolphin and seal show early fyi, they do timeshare solicitation be prepared. ",['dolphin show']
not what i thought it would be for it to be the worlds largest aquarium i enjoyed the shark whales but didn t get a chance to see the dolphin show which was included in my ticket price. they have you purchase tickets online with a time slot but when you get inside the dolphin shows don t match up with the time slot i wish i wouldve just paid for an adventure then wasted money on what i thought would be a great experience ,"['Application', 'aquarium', 'dolphin show', 'Experience', 'ocean voyager', 'Price', 'Sharks! Predators of the Deep']"
the lines are just ridiculous you have to plan on being there at least 2 1/2 hours ahead of time. ,['Crowd']
this place is phenomenal. i strongly recommend to visit when it opens as it does get really busy as the morning and afternoon comes along take advantage of reserving the included shows on the app or visiting online ,"['Application', 'Crowd']"
do not go on spring break week save yourselves is chaotic. unfortunately we didn t enjoyed the aquarium as much as we wished we had ,"['aquarium', 'Events']"
"we went at 12:30 and it was very crowded. by the time we left, around 4pm the crowds starting to die down. other than overcrowded, we enjoyed. ",['Crowd']
and pretty pricey for what takes about 2hr to see overall good but i wont be back often ,['Price']
the dolphin show is a must see so be sure to make a reservation when you buy your ticket. ,"['dolphin show', 'Entertainment', 'Ticket']"
"cardio is cool and all, but the train is a real lifesaver ",['Wayfinding']
had great animals and exhibits though food and gift shops were overpriced ,"['Food', 'Gift Shop', 'Price']"
i have asked repeatedly and they refuse to help the amenities have gone down the service at amenities has gone down and folks wonder why people get angry at them the airlines and flight staff are fantastic it is the workers inside the airport that have decided to tell us they do not care ,"['Airlines', 'Amenities']"
